name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,Season
Chiedozie Ogbene,FWD,Luton,0.6,0,0,3,0,10.5,328,0.01,0.01,0.0,0.4,175,0,0,1.5,2.2,2023-12-23T15:00:00Z,9,15,0,0,0,0,18,0,16819,0,0,1,2.0,1,-836,335,1171,49,True,0,18,2023-2024
Harvey Elliott,MID,Liverpool,1.7,0,0,8,0,11.3,295,0.02,0.04,0.02,0.09,174,0,0,2.0,7.0,2023-12-23T17:30:00Z,22,1,0,0,0,0,18,0,17804,0,1,1,2.0,1,-491,502,993,48,True,0,18,2023-2024
Jack Robinson,DEF,Sheffield Utd,1.0,0,0,10,0,0.1,576,0.0,0.0,0.0,0.89,171,1,0,1.9,19.0,2023-12-22T20:00:00Z,90,2,0,0,0,0,18,0,9239,1,1,1,0.0,2,411,703,292,44,False,0,18,2023-2024
Gabriel Martinelli Silva,MID,Arsenal,3.2,0,0,3,0,11.4,12,0.03,0.17,0.14,0.44,174,1,0,2.4,2.8,2023-12-23T17:30:00Z,67,11,0,0,0,0,18,0,615616,1,1,1,10.0,2,-27347,7361,34708,77,False,0,18,2023-2024
Wout Weghorst,FWD,Burnley,0.0,0,0,0,0,0.0,183,0.0,0.0,0.0,0.0,173,0,0,0.0,0.0,2023-12-23T15:00:00Z,0,10,0,0,0,0,18,0,4339,0,2,0,0.0,0,-27,0,27,55,False,0,18,2023-2024
Jhon Durán,FWD,Aston Villa,1.0,0,0,1,0,10.4,44,0.04,0.04,0.0,0.56,171,1,0,1.3,1.0,2023-12-22T20:00:00Z,16,17,0,0,0,0,18,0,20382,0,1,1,2.0,1,-163,1046,1209,50,True,0,18,2023-2024
Michail Antonio,FWD,West Ham,-0.1,0,0,0,0,0.0,523,0.0,0.0,0.0,0.0,179,0,0,0.0,0.0,2023-12-23T12:30:00Z,0,14,0,0,0,0,18,0,198570,0,0,2,0.0,0,-6932,241,7173,57,True,0,18,2023-2024
Jamie Donley,FWD,Spurs,0.3,0,0,0,0,0.0,722,0.0,0.0,0.0,0.0,178,0,0,0.0,0.0,2023-12-23T15:00:00Z,0,9,0,0,0,0,18,0,4978,0,1,2,0.0,0,-182,243,425,45,True,0,18,2023-2024
Malang Sarr,DEF,Chelsea,0.0,0,0,0,0,0.0,214,0.0,0.0,0.0,0.0,180,0,0,0.0,0.0,2023-12-24T13:00:00Z,0,20,0,0,0,0,18,0,9568,0,1,2,0.0,0,-45,114,159,43,False,0,18,2023-2024
Ângelo Gabriel Borges Damaceno,MID,Chelsea,0.0,0,0,0,0,0.0,589,0.0,0.0,0.0,0.0,180,0,0,0.0,0.0,2023-12-24T13:00:00Z,0,20,0,0,0,0,18,0,319,0,1,2,0.0,0,0,0,0,50,False,0,18,2023-2024
